 OBS    ID    SEX      AGE     INC     R1      R2      R3
   1     1      F       34      17      7       2       2
   2    17      M       40      14      5       5       3
   3    33      M       45       6      7       2       7
   4    49      M       24      14      7       5       7
   5    65      F       52       9      4       7       7
   6    81      M       45      11      7       7       7
   7     2      F       24      17      6       5       3
   8    18      F       40      14      7       5       2
   9    34      F       45       6      6       5       6
  10    50      M       34      17      5       7       5
