"age", "p3", "p5", "p10", "p25", "p50", "p75", "p90", "p95", "p97"
 0, 18.0, 18.0, 18.5, 19.0, 20.0, 21.0, 21.0, 21.0, 21.5
 1, 28.0, 28.0, 28.5, 29.0, 30.0, 30.5, 31.0, 31.5, 32.0
 2, 32.0, 32.0, 33.0, 33.5, 34.5, 35.0, 36.0, 36.5, 37.0
 3, 35.0, 35.5, 36.0, 37.0, 38.0, 39.0, 40.5, 40.5, 40.5
 4, 37.0, 37.5, 38.0, 39.0, 40.5, 41.5, 42.5, 43.0, 43.5
 5, 39.5, 40.0, 40.5, 42.0, 43.0, 44.0, 45.0, 46.0, 46.5
 6, 42.0, 42.5, 43.0, 44.0, 45.5, 47.0, 48.0, 49.0, 49.5
 7, 44.0, 44.5, 45.5, 46.5, 48.0, 49.5, 50.5, 51.5, 52.0
 8, 46.0, 46.5, 47.5, 49.0, 50.5, 52.0, 53.5, 54.0, 55.0
 9, 48.0, 48.5, 49.5, 51.0, 52.5, 54.5, 55.5, 56.5, 57.0
10, 50.0, 50.5, 51.5, 53.0, 54.5, 56.5, 58.0, 59.0, 59.5
11, 51.5, 52.0, 53.0, 54.5, 56.6, 58.5, 60.0, 61.0, 62.0
12, 53.5, 54.0, 55.0, 56.5, 59.0, 60.5, 62.5, 63.5, 64.5
13, 55.5, 56.5, 57.5, 59.5, 61.5, 63.5, 65.5, 66.5, 67.5
14, 58.5, 59.0, 60.5, 62.5, 64.5, 66.5, 68.5, 69.5, 70.0
15, 61.0, 61.5, 63.0, 65.0, 67.0, 69.0, 70.5, 72.0, 72.5
16, 62.5, 63.0, 64.5, 66.5, 68.5, 70.5, 72.0, 73.0, 73.5
17, 63.5, 64.0, 65.0, 67.0, 69.0, 71.0, 72.5, 73.5, 74.0
18, 64.0, 64.5, 65.5, 67.5, 69.5, 71.0, 73.0, 74.0, 74.5
19, 64.5, 65.0, 66.0, 67.5, 69.5, 71.5, 73.0, 74.0, 74.5
20, 64.5, 65.0, 66.0, 68.0, 69.5, 71.5, 73.0, 74.5, 75.0
