"Car",                   "Weight", "Length", "Braking", "Cylinders", "Displacement", "City", "Highway", "GHG"
"Acura RL",              4035,     194,      131,       6,           3.5,            18,     26,        8.7
"Acura TSX",             3315,     183,      136,       4,           2.4,            22,     31,        7.2
"Audi A6",               4115,     194,      129,       6,           3.2,            21,     29,        7.7
"BMW 525i",              3650,     191,      127,       6,           3.0,            21,     29,        7.7
"Buick LaCrosse",        3565,     198,      146,       4,           3.8,            20,     30,        7.9
"Cadillac STS",          4030,     196,      146,       6,           3.6,            18,     27,        8.7
"Chevrolet Impala",      3710,     200,      155,       6,           3.9,            19,     27,        8.2
"Chevrolet Malibu",      3135,     188,      139,       4,           2.2,            24,     32,        6.8
"Chrysler 300",          4105,     197,      133,       8,           5.7,            17,     25,        9.3
"Dodge Charger",         4170,     200,      131,       8,           5.7,            17,     25,        9.3
"Dodge Stratus",         3190,     191,      131,       4,           2.4,            22,     30,        7.4
"Ford Crown Victoria",   4180,     212,      140,       8,           4.6,            17,     25,        9.3
"Ford Focus",            2760,     168,      137,       4,           2.0,            26,     32,        6.5
"Honda Accord",          3195,     190,      144,       4,           2.4,            24,     34,        6.6
"Hyundai Elantra",       2980,     177,      133,       4,           2.0,            24,     32,        6.7
"Infiniti M35",          4095,     193,      122,       6,           3.5,            18,     25,        9.0
"Jaguar XJ8",            3860,     200,      133,       8,           4.2,            18,     27,        8.6
"Kia Amanti",            4020,     196,      143,       6,           3.5,            17,     25,        9.3
"Kia Spectra",           2875,     176,      144,       4,           2.0,            25,     34,        6.5
"Lexus GS300",           3915,     190,      133,       6,           3.0,            22,     30,        7.4
"Lexus LS",              4205,     197,      134,       8,           4.3,            18,     25,        8.7
"Lincoln Town Car",      4415,     215,      143,       8,           4.6,            17,     25,        9.3
"Mazda 3",               3060,     177,      129,       4,           2.3,            26,     32,        6.5
"Mercedes-Benz E",       3745,     190,      128,       6,           3.2,            27,     37,        7.0
"Mercury Grand Marquis", 4180,     212,      140,       8,           4.6,            17,     25,        9.3
"Nissan Altima",         3235,     192,      144,       4,           2.5,            23,     29,        7.1
"Pontiac G6",            3475,     189,      146,       6,           3.5,            22,     32,        7.2
"Saturn Ion",            2865,     185,      130,       4,           2.2,            24,     32,        6.7
"Toyota Avalon",         3600,     197,      139,       6,           3.5,            22,     31,        7.2
"Toyota Corolla",        2595,     178,      140,       4,           1.8,            30,     38,        5.5
"Volkswagen Passat",     3465,     188,      135,       4,           2.0,            22,     31,        7.3
"Volvo S80",             3630,     190,      136,       6,           2.9,            20,     27,        8.2
