Gender,Height,Mother's Height,Father's Height
M,62.5,66,70
M,64.6,58,69
M,69.1,66,64
M,73.9,68,71
M,67.1,64,68
M,64.4,62,66
M,71.1,66,74
M,71.0,63,73
M,67.4,64,62
M,69.3,65,69
M,64.9,64,67
M,68.1,64,68
M,66.5,62,72
M,67.5,69,66
M,66.5,62,72
M,70.3,67,68
M,67.5,63,71
M,68.5,66,67
M,71.9,65,71
M,67.8,71,75
F,58.6,63,64
F,64.7,67,65
F,65.3,64,67
F,61.0,60,72
F,65.4,65,72
F,67.4,67,72
F,60.9,59,67
F,63.1,60,71
F,60.0,58,66
F,71.1,72,75
F,62.2,63,69
F,67.2,67,70
F,63.4,62,69
F,68.4,69,62
F,62.2,63,66
F,64.7,64,76
F,59.6,63,69
F,61.0,64,68
F,64.0,60,66
F,65.4,65,68
